title,content,url,,,,,
企業理念,人生を面白くする、ビジョン,https://sites.google.com/adglobe.co.jp/adgportalsitenew/adglobeinfo,,,,,
組織図,1. アドグローブ組織体制図\n2. アドグローブグループ全社員所属・メールアドレス一覧,https://sites.google.com/adglobe.co.jp/adgportalsitenew/chart,,,,,
規則/制度/ガイドライン,01.各種手当\n02.各種制度/福利厚生\n03.ヘルスケア・衛生管理\n04.資産形成\n05.社内教育制度\n06.委員会について\n07.規程\n08.個人情報保護（Pマーク）・情報セキュリティ\n09.評価制度\n10.ガイドライン\n11.AI関連\n01.各種手当\n社外勤務手当\n\n委員会手当\n\n02.各種制度/福利厚生\n医療保険制度 / 養老保険制度\n\n永年勤続表彰制度\n\n技術書籍購入制度\n\n資格取得補助制度\n\nセミナー等参加費用補助制度\n\n福利厚生サービス\n\n03.ヘルスケア・衛生管理\n提携スポーツクラブ制度\n\n提携ゴルフ場利用料補助制度\n\n禁煙外来治療補助制度\n\n外部カウンセリング支援制度\n\n社内相談窓口\n\n衛生管理\n\n04.資産形成\n確定拠出年金\n\n財形貯蓄\n\n05.社内教育制度\n制度説明資料\n\nユーザーマニュアル\n\n受講のルール\n\n教育訓練休暇制度について\n\n研修受講について\n\n06.委員会について\n広報委員会\n\n資産管理委員会\n\n情報システム委員会\n\nエンゲージメント向上委員会\n\n07.規程\n就業規則\n\n賃金規程\n\n育児介護休業規程　 📙産休・育休・短勤務制度について　📘介護休業・休暇・時短勤務制度について\n\n出張旅費規程\n\nテレワーク勤務規定\n\n確定拠出年金規定\n\n賃金控除に関する労使協定\n\n36協定\n\n育児・介護休業等に関する労使協定\n\n労働者派遣法に係る労使協定\n\n個人情報セキュリティ規定　※08.個人情報保護（Pマーク）・情報セキュリティ参照\n\n08.個人情報保護（Pマーク）・情報セキュリティ\n個人情報保護（Pマーク）\n\n情報セキュリティ\n\n09.評価制度\n    ▼規程\n人事考課規程\n\n    ▼概要\n評価制度について\n\n年間評価スケジュール\n\nアドグローブグレード\n\nアドグローブコンピテンシー\n\n評価観点\n\n10.ガイドライン\n防災ガイドライン\n\nslackガイドライン\n\nソフトウェア、ツール及び拡張機能 ガイドライン \n\n11.AI関連\n  ▼全事業部適用\n生成AI利用に関するセキュリティポリシー\n\n生成AI活用ガイドライン\n\n    ▼SL \n生成AI活用ガイドライン_SES・ラボ従事者向けガイドライン\n\n生成AI活用ガイドライン_受託開発向けガイドライン\n\n    ▼問い合わせ先 \nCTG問い合わせフォーム\n\n※AIに関連する問い合わせ先の一次受けはCTGのフォームより受付を行い、各部門に関わる内容によって各部門長に共有・連携していきます\n\n\n,https://sites.google.com/adglobe.co.jp/adgportalsitenew/provision,,,,,
勤怠フロー,■勤怠フロー \n勤怠フロー（一般社員向け）　　※一般社員向けの勤怠フローです\n勤怠フロー（管理職向け）　　　※ジョブカンのスタッフ種別が「管理職」の方向けの勤怠フローです\n■ 勤怠管理（ジョブカン）操作マニュアル\n■ 有給休暇の残日数と有効期限の確認方法\n■ 勤怠FAQ,https://sites.google.com/adglobe.co.jp/adgportalsitenew/%E5%8B%A4%E6%80%A0%E3%83%95%E3%83%AD%E3%83%BC,,,,,
各種申請/申請書,"01. 申請方法\n立替経費/補助利用精算・出張申請\n■ 立替経費精算・各種補助利用（スポーツジム/ゴルフ/禁煙外来）申請\n■ 出張申請\n届出事項変更・慶弔休暇付与\n■ 住所・通勤経路/通勤手当の変更（引越し、勤務先変更等）\n■婚姻状況・扶養家族・緊急連絡先の変更\n■ 慶弔休暇の付与\n02. 申請書フォーマット\n01. 申請方法\n立替経費/補助利用精算・出張申請\n\n\n\n\n◇ 精算スケジュール ◇\n\n\n　締日　：　25日（暦により変動あり）　※必ず当月の全体アナウンスで締日をご確認ください!!\n\n申請期限：　締日の翌営業日中\n\n\n【前月締日の翌日～当月締日までの利用分】を【当月締日の翌営業日中まで】に申請してください。\n\n当月給与と合わせて精算します。\n\n\n<申請例> \n\n・通常月：前月26日～当月25日利用分 → 1日～26日の間に申請\n\n・3月（決算）：①通常月と同様 + ②26日～末日利用分 → 26日以降に追加申請  ※期限はご案内します\n\n・4月：1日～25日利用分 → 1日～26日の間に申請\n\n\n<注意事項>\n\n・【締日の翌日～末日】 はフォーム閉鎖のため原則精算申請ができません。退職等でこの期間に申請の必要がある場合は業務管理部までご連絡ください。\n・万が一申請が漏れた分は、翌月初に申請してください。翌月の精算となります。\n\n・申請漏れが翌月申請できるのは直前の精算対象期間分までです。（例 1/15に11月分（前々回分）を申請はNG）\n\n・前月申請がなかった方は経費申請のアカウントが停止になります。再度利用されたい場合はお早めに業務管理部までご連絡ください。\n\n\n\n■ 立替経費精算・各種補助利用（スポーツジム/ゴルフ/禁煙外来）申請\n★申請フォーム★\n\n・立替経費精算申請\n\n　└ 交通費（スマホアプリを利用してICカードから読込ができます） ※新幹線・有料特急・高速バスは領収書が必要です。\n\n　└タクシー・宿泊費等\n\n　└その他経費\n\n・補助利用申請（各種） ※資格取得、セミナー参加、技術書自主購入は事前申請が必要です。\n\n・会議費　※対象者のみ\n\n・Udemy学習・修了申請　※SL・GA・HR対象\n\n\n<注意事項> \n\n・精算期間分（1か月分）をまとめて申請してください。（都度申請はNG）\n\n・未来日は申請できません。（例 1/25の申請に1/26～31の交通費は申請できません→26～31日分は翌月の申請に入れてください）\n\n・承認完了になった後に追加があった場合は、新しく申請をあげてください。\n\n※<目的・備考>欄に「追加分」等記載してください。\n\n※承認途中の場合は差戻し可能ですので、承認者もしくは業務管理部までご連絡ください。\n\n\n\n★タクシー・その他経費の利用について★ \n\n原則、事前承認のないものは申請出来ません。   利用前に各部部長にslack等で承認を取るようにして下さい。\n\n夜間の急な使用で事前承認が難しい場合は、チャット連絡＋翌営業日に理由説明（対話形式）として下さい。\n\n※以下は事前承認不要です。\n\n・顧客指示、顧客請求 → 担当営業にも共有してください。\n\n・プロジェクト責任者指示\n\n※交通費とタクシー利用分はできるだけ同一の申請内であげてください 。\n\n\n★領収書について★\n\n経費精算には領収書が必要です。（交通費でも新幹線・有料特急・高速バスは領収書が必要です。）\n\n「T～」から始まる登録番号のある領収書を取得してください。\n\n個人経営などで登録のない事業者発行の領収書の場合は、内訳選択で「～（登録番号なし）」の内訳を選択してください。\n\n申請の明細に領収書画像を添付してください。原本の提出は受け付けられません。\n\n\n\n■ 出張申請\n1. 事前申請\n\n★申請方法★\n\n事前申請：出張稟議 <国内> から申請してください。\n\n※宿泊予約は原則会社で手配します。（顧客都合出張の場合は立替可）\n\n※同行者がいる場合は1つの申請で同行者分も申請できます。\n\n　申請の際に同行者と同行者の上長を閲覧者に追加もしくは申請を共有してください。\n\n\n★申請期限★\n\n承認期限を原則出発日の1週間前 までで設定できるよう余裕をもって申請してください。\n\n（特に宿泊手配がある場合は、1週間を切ると手配が間に合わない場合がございますので期限は厳守ください）\n\n\n\n2. 出張報告/精算\n\n★申請方法★\n\n出張報告・精算申請 <国内> から申請してください。\n\n※事前申請に入力すると、事前申請の内容が自動反映されます。\n\n　実際に自身が立て替えた金額に上書きして申請ください。\n\n　同行者が事前申請をあげている場合は、閲覧者に追加もしくは申請を共有してもらってください。\n\n\n★領収書について★\n\n経費精算には領収書が必要です。（交通費でも新幹線・有料特急・高速バスは領収書が必要です。）\n\n「T～」から始まる登録番号のある領収書を取得してください。\n\n個人経営などで登録のない事業者発行の領収書の場合は、支払先名称のみ直入力してください。\n\n申請の明細に領収書画像を添付してください。原本の提出は受け付けられません。\n\n\n★申請期限★\n\n出張終了後1週間以内、もしくは、出張終了日の次に到来する経費精算締日のどちらか早い方まで\n\n （ex. 10/20出張終了 → 10月の締日の翌営業日まで、10/31出張終了 → 11/7まで）\n\n※3月は3/31帰着分までを追加申請  ※期限はご案内します\n\n\n\n\n届出事項変更・慶弔休暇付与\n■ 住所・通勤経路/通勤手当の変更（引越し、勤務先変更等） \n★申請方法★\n\n通勤先・通勤経路・住所変更申請フォーム から申請をしてください。\n\n\n★申請期限★\n\n住所の変更：変更のあった月の25日まで（例 2023年11月20日に引っ越し → 2023年11月25日まで）\n\n通勤経路/通勤手当の変更：前月25日まで（例 2023年12月から変更 → 2023年11月25日まで）\n\n※自社オフィス勤務で定期購入（通勤手当を定期代で支給）へ切り替える場合は、購入の前月25日までに所属部門の部長・事業部長に直接申し出てください。\n\n\n\n■婚姻状況・扶養家族・緊急連絡先の変更\n★申請方法★\n\n婚姻･扶養･緊急連絡先変更フォームから申請をしてください。\n\n\n■ 慶弔休暇の付与\n慶弔休暇（特別休暇）は事前に管理側で付与してからジョブカンで申請が必要です。\n\n★申請方法★\n\n慶弔休暇付与申請フォームから申請をしてください。\n\n\n02. 申請書フォーマット\n※ダウンロードしてご利用ください\n\n\n・情報機器利用申請書\n\n客先から貸与されたPCを使用する場合\n\n客先貸与の端末（PC・デモ機など）で、社内の"" office Wi-Fi "" に接続する場合\n\n帰省先など、会社が把握している勤務地（会社・自宅・出向先）以外の場所で、継続的に業務を行う場合\n\n\n・社外研修受講申請書・報告書 兼 教育訓練休暇申請書\n\n※ 休暇日1週間前までに部長に提出",https://sites.google.com/adglobe.co.jp/adgportalsitenew/format,,,,,
入社された方へ,＼アドグローブへようこそ／\n\n新しく入社された方向けのご案内です！\n\n入社後、下記手順に従って社内ツールの設定やルール/就業規則などの確認をお願いします！\n\n01.入社後にご対応お願いします\n・アカウント設定\n\n・社内各種設備\n\n・提出書類\n\n・アンケート　　※入社後2日以内に対応\n\n・確定拠出年金　※口座移換の方も対象\n\n・打刻修正\n　　ガイダンス等で、10時を過ぎている場合は、ジョブカン申請のお試しもかねて10時に打刻修正を上げてください。\n　　（備考には入社ガイダンスのためと記入してください）\n\n・交通費申請　※入社初日出社、かつ定期未購入の方\n　　各種申請方法/申請書をご参照の上、本日の交通費を申請してください。\n　　（各月の立替精算の締め日までにご対応ください）\n\n02.ルール/規則の確認（必ず目を通すようにしてください）\n▼勤怠ルール\nこちらご確認ください\n\n※勤怠フローのページにジャンプします\n\n\n　勤怠ルールの注意点\n・遅刻早退欠勤時の連絡\n\n各事業部の「勤怠連絡フォーム」から忘れずに申請してください。\n\n・遅延証明書\n\nジョブカンの遅刻理由申請に遅延路線と証明書URLを記載して申請してください。\n\n・有休残日数について\n\n「特別有休」は「有休」の残日数がない場合に使用できます。\n\n退職時に消化できるのは「有休」のみとなります。\n\n　　各種申請等の利用方法は、こちらをご確認ください\n\n\n▼各種申請・変更について\n各種申請方法/申請書\n\n　・住所変更や、慶弔休暇（結婚、出産、ご逝去など）、扶養家族（結婚、出産）、連絡先変更の変更等あるときは上記ページより申請してください。\n\n\n▼通勤手当（定期代）について\n・月途中入社、リモートワーク併用中、フルリモートの場合は、出社分の実費を立替経費精算となります。\n\n　通勤手当の定期代での支給は、1日～末日全期間出社の場合に限り、自社勤務の場合は各事業部長に申告が必要です。\n\n・月途中での通勤経路変更はこちら をご確認ください。\n\n\n\n▼社内ツール\n・google Apps\n\n・slack\n\n・ジョブカン（勤怠管理・経費精算システム）\n\n・社員情報一覧ツール「etc.」のご案内\n　　ご自身のGoogleアカウントに紐づいて、所属部署や有給休暇日数などが表示されるツールです。\n　　ぜひお役立てください。 \n\n・給与明細（Web閲覧）\n\n　　給与支給月になりましたら業務管理部よりDMでご連絡いたします。\n\n\n\n▼オフィス出社時の設定・ルール\n・出社される方へ をご確認ください\n\n・防災ガイドライン\n\n\n\n▼その他\n・個人情報保護（Pマーク）・情報セキュリティ\n\n・各種制度/福利厚生\n\n・社内URL集\n\n　ソリューション事業部とゲーム事業部所属の方は、上記ページの該当事業部の項目をご確認ください。\n\n\n\n※後日人事より説明します※\n・個人情報保護教育\n・社内教育制度（ラーニングナビゲーター）\n\n・評価制度,https://sites.google.com/adglobe.co.jp/adgportalsitenew/joined,,,,,
出社される方へ,01.勤務時の服装について\nこちらを参照ください\n\n02.打刻、入退室記録表、開錠・施錠について\n■打刻について\nオフィス入口に打刻機がありますので、必ず打刻用カードで打刻してください\n\n※打刻用カード＝入退室カードキー（防犯カードとは異なります）\n\n※有事の際はジョブカンで打刻人数を把握します\n\n※勤怠フローについては別リンク参照\n\n■開錠・施錠、入退室記録表について\n「一番最初に出社した方」「一番最後に会社を出る方」は、各拠点出入り口付近に設置してある「入退室記録表」への記入が必要です。\n\n※開錠・施錠には管理ビル発行の「防犯カード」を使用します。\n\n※開錠・施錠についてはクリックして詳細確認してください\n\n03.設備について\n■各種社内設備\n\n■オフィス内設備の使用について\n本社 \n\n大阪オフィス\n\n04.会議室・カフェスペース、来社記録票について\n\n■利用ルールと予約方法について\n東京オフィス（利用ルール・予約方法）\n\n大阪オフィス（利用ルール・予約方法）\n\n※室数に制限があるため、参加者に出社メンバーが居ない場合は会議室の予約は控えてください\n\n■会社の休日利用について\n会社の休日に各拠点カフェスペース・会議室をサークル活動や勉強会にご利用いただけます。\n\n休日利用申請フォームから、フォーム記載の利用ルールをよく読み、代表者の方にて申請ください。\n\n■来社記録票について\n本社・大阪オフィス・札幌スタジオの執務室内に、外部の方を招き入れる場合には、個人情報・機密情報保護の観点から【来社記録票】の提出が必要です。\n\n※提出の流れについてはクリックして詳細確認してください\n\n05.管理ビル連絡先\n業務管理部の不在時で、ビル利用に関して緊急・ご相談が必要な場合は下記へご連絡ください。\n連絡した場合は、必ず業務管理部へご報告をお願いいたします。\n\n【東京】東京建物東渋谷ビル連絡先\n\n［平日19時まで］\n東京建物東渋谷ビル 管理室\n03-5467-6758\n\n※1F受付に直接ご相談いただくか、上記電話にご連絡ください\n\n\n\n［平日19時以降・休日連絡先］\n東京不動産管理緊急対応センター\n0120-566-811\n\n【大阪】JRWD堂島タワー連絡先\n\n[24時間、土日対応]\n\n三菱地所プロパティマネジメント株式会社\n06-6348-0255\n※B1F受付に直接ご相談いただくか、上記電話にご連絡ください\n\n【札幌】SAKURA-S3\n\nSKY エンジニアリング株式会社\n011-214-1681\n\n06.防火・防災資料、設備について,https://sites.google.com/adglobe.co.jp/adgportalsitenew/%E5%87%BA%E7%A4%BE%E3%81%95%E3%82%8C%E3%82%8B%E6%96%B9%E3%81%B8,,,,,
各種社内設備, 01.  ファイルサーバ・共有ドライブ\n\nNAS、Googleドライブをご利用ください。\n\n※会社のOfficeアカウントでのMicrosoft Office OneDrive の 使用は禁止です。\n\n\n■NAS\n\n※ログイン用の共通IDとパスワードは定期的に更新し、Slackにてご連絡しています。\n\n\n《エクスプローラー接続》\n\n接続先：\\nas.adglobe.co.jp\adglobe\n\n\n《WebDAV接続（リモートの方はこちら）》\n\n接続先：https://nas.adglobe.co.jp:5001/adglobe/\n\n○Mac設定方法\n\n○Windows設定方法\n\n\n《Webブラウザ接続》\n\n接続先：https://nas.adglobe.co.jp:8443/\n\n\n■ Googleドライブ\n\n※アドグローブのメールアドレスでログインしてください。\n\n\n《エクスプローラー接続》\n\nドライブをダウンロードしてください。\n\nhttps://www.google.com/intl/ja_jp/drive/download/\n\n\n《Webブラウザ接続》\nマイドライブ：https://drive.google.com/drive/u/0/my-drive\n\n共有ドライブ：https://drive.google.com/drive/u/0/shared-drives\n\n\n★Googleドライブ利用方法\n\n02.  ESET設定(ウイルスソフト)\n\n会社名義でESETを契約しております。\n\nESETセキュリティソリューションシリーズ \n\n下記手順を参照に各自インストールをお願いします。\n\n\n＜インストール前の確認事項＞\n\n複数PCを使っている方は、各PCにインストールが必要です。\n\nウイルスソフトは複数インストールすることができません。\n既に他ウイルスソフトがインストールされている場合は事前にアンインストールしてからESETをインストールしてください。\n\n代表的なウイルスソフト\nMicrosoft Security Essentials　／　McAfee（マカフィー）　／　Norton（ノートン）　／　ウイルスバスター\n\n\n＜インストール手順＞\n\n下記ドライブのインストール資料（インストーラー・手順書）を参考にインストールしてください。\n\nインストール資料　Windows　／　Mac\n\n\n＜ESETで困ったら…＞\n\n不明な点がありましたら下記フォームまでご連絡下さい。\n\n\n情報システム委員会 ／ ESET不具合サポートフォーム \n\n03.  複合機設定\n\n【東京本社・大阪】\n\n■RICOH IMC2510\n\n東京 <IPアドレス>  http://192.168.101.251  ドライバインストールはこちら\n\n大阪 <IPアドレス>  http:// 192.168.105.3    ドライバインストールはこちら\n\n　　　\n\nmac用のドライバはこちらよりインストールしてご設定ください　※東阪共通\n\n\n※win用は東京・大阪でプリンタドライバが異なります！使用したいオフィスのドライバをインストールしてください\n\n通常使うプリンタの設定方法についてはこちらを参照にしてください\n\n04. 無線LAN\n\n【本社】\n■社員用\n\nSSID： adglobe-office \n\nPW   ： 業務管理部へ申請書をデータで提出後発行\n\n■ゲスト用\n\nSSID： adglobe-guest\n\nPW   ：2010adglobe0518\n\n【大阪】\n■社員用\n\nSSID：office\n\nPW   ： slackチャンネル（osa_all）部屋の概要説明に記載しております\n\n■ゲスト用 \n\nSSID： guest\n\nPW   ：adglobe_guest_wifi\n\n05.  電話\n\n■ 内線 （短い着信音）\n【発信】受話器を上げ、内線番号（2桁）を押す\n\n【受話】受話器をあげる\n\n\n■ 外線 （長い着信音）\n「1～4」アドグローブ（中音）「7~18」グループ会社 (対応不要)\n\n【発信】  「1~4」の外線ボタンを押してから相手先の電話番号を押す\n\n【受話】  受話器を上げ、緑に光っているボタンを押す\n\n※ 鳴動は業務管理部設置機のみですが、受話はどの電話機でも可能です\n\n★取次・転送方法★\n\n①保留 ⇒ ②内線 or 口頭で担当に伝える ⇒  ③終話 or 不在対応（伝言、折り返し）等\n\n\n■電話応対について\n受付・外線着信は、基本は業務管理部が対応しますが、不在の時は電話のある席の方にご対応をお願い致します。\n\n対応方法についてはこちら  ⇒   電話対応について\n\n06.  FAX\n \n\n  【発信】   RICOH IMC2510 を使用\n\n  【受信】   RICOH IMC2510 より紙面で排出\n\n07.  IPアドレス\n \n\n下記シートよりご確認ください。\n\n\n社内ネットワーク管理台帳　東京　／　大阪,https://sites.google.com/adglobe.co.jp/adgportalsitenew/home-list,,,,,
社内URL集,コミュニケーションツール\n・Slack\n        https://join.slack.com/t/adglobe/signup\n\nslackガイドライン\n\n勤怠管理・経費精算\n・ジョブカン\nhttps://id.jobcan.jp/users/sign_in\n\n共有サーバー\n・社内NAS（ドキュメント）\n《エクスプローラー接続》\n\n　接続先：\\nas.adglobe.co.jp\adglobe\n\n　ID/PASS：syain / 近藤竜也さんにお問い合わせください\n\n\n《WebDAV接続（リモートの方はこちら）》\n\n　接続先：https://nas.adglobe.co.jp:5001/adglobe/　\n\n　ID/PASS：syain / 近藤竜也さんにお問い合わせください\n\nテンプレート・素材配布\n・アドグローブ：デザインテンプレート\n　WEB会議のバーチャル背景を配布しています\n広報媒体\n\n・ADBLOG　　　　　　　 社内ブログ\n\n・ADGLOBE BLOG　　　    社外ブログ（はてなブログ）\n\n・ADGLOBE MAGAZINE　社内報\n\n・ADGLOBE ALBUM　　    社内イベントアルバム（写真・動画）\n\n\nADBLOG（社内ブログ）フリーアカウント\n\nADBLOG（社内ブログ）では、誰でも使えるフリーアカウントをご用意しました。\n\n部活動や社内イベントの様子、趣味やゲームなど気軽に執筆してください！\n\n\n・WordPressログイン情報\n\n　ログインURL：https://adblog.adglobe.co.jp/wp-admin/\n\n　ユーザー名　：free1 もしくは free2　\n\n　PASS　　　 ：adglobe0518\n\n\n・執筆～公開までのフロー\n\n　①フリーアカウントからWordPressにログイン後、『新規投稿』ボタンより下書き開始\n\n　②タイトル、本文、アイキャッチ画像まで作成完了後、広報委員会へ公開依頼をしてください　※広報委員会：問い合わせフォーム\n\n　　※記事のタイトルは下記の通り記載してください（【】内は公開時に削除します）\n\n　　　タイトル：【部署名／氏名】記事タイトル\n\n　③内部確認後、広報委員会より公開いたします☆\n\n\n・留意事項\n\n　フリーアカウントは記事の公開が出来ない為、下書き完了後は広報委員会まで公開依頼をしてください。\n\n　記事公開の最終的な判断については広報委員会にて行います。\n\n\nソリューション事業部\n\n・ナレッジベース\n\n\n　SL Wiki\n\n　※Proxyサーバー接続方法、VPN接続方法、ファイルサーバーの使い方　など\n\n\n・Udemy購入補助制度\n\n\n　Udemy購入補助制度の説明資料　／　Udemy学習申請フォーム　／　Udemy修了申請フォーム\n　                                                                ※ジョブカン経費精算にログインして申請してください。\n                                                                　　　　　 ※Udemy修了申請フォームは立替精算締日～月末は申請できません。1日～締日の間に申請ください。\n\n\n・Apple Developer Account申請\n\n\n　Apple Developer Account申請フォーム\n\n\nゲーム事業部\n\n・ナレッジベース\n\n\n　GA Wiki\n\n　※Proxyサーバー接続方法、VPN接続方法、ファイルサーバーの使い方　など\n\n\n・Udemy購入補助制度\n\n\n　Udemy購入補助制度の説明資料　／　Udemy学習申請フォーム　／　Udemy修了申請フォーム\n　                                                                ※ジョブカン経費精算にログインして申請してください。\n                                                                　　　　　 ※Udemy修了申請フォームは立替精算締日～月末は申請できません。1日～締日の間に申請ください。\n\n部活動\n部活動\n\n会社で活動中の部活動情報を掲載しています\n\n委員会\n委員会の詳細については《06.委員会について》をご参照ください\n・広報委員会問い合わせフォーム\n　コーポレートサイト、社内連絡\n　社外ブログ（ADGLOBE BLOG）、社内ブログ（ADBLOG）、社内報（アドマガ）\n・資産管理委員会問い合わせフォーム  \n　 書籍（本）、端末（PC、検証用スマホ・タブレット、モニター・ペンタブ等備品）\n　ライセンス（Google、Slack、Microsoft Office、ESET、adobe等各種開発ツール）\n・情報システム委員会問い合わせフォーム  \n　各種開発ツール、インフラ関連\n・衛生管理委員会\n　健康保持増進、労働災害の防止・予防\n　衛生管理委員会議事録\n\nリファラル採用窓口\nリファラル採用窓口 NEW\n\n相談・カジュアル面談 から受け付けています\n現在募集中の職種、求人一覧は募集要項からご確認ください\n\nアドグローブグループ\n・株式会社アドグローブ\nhttps://www.adglobe.co.jp/ja/\n\n・株式会社ブラストエッジゲームズ\nhttps://www.blastedge-games.co.jp/\n\n・株式会社グリームオーブ\nhttps://www.gleamorb.co.jp/\n\n・株式会社フィグザ\nhttps://www.figse.co.jp/\n\n・株式会社Nuco\nhttp://www.nuco.co.jp/\n\n・株式会社Live Wire\nhttps://www.live-wire.co.jp/\n\n・株式会社Techoes\nhttps://www.techoes.co.jp/\n\n・株式会社Binary Haze Interactive\nhttps://bhaze.com/jp/,https://sites.google.com/adglobe.co.jp/adgportalsitenew/urllink,,,,,
資産管理,会社資産の貸出、利用、返却時のルールをまとめております。内容をご確認のうえ、ご利用ください。\n\n📱デモ端末\n💻PC\n🔏ライセンス・アカウント\n📚書籍\n🎮ゲーム機・ゲームソフト\n📱デモ端末\n■デモ端末一覧\n\nslackの #社内端末貸出依頼 ch（誰でも参加できます）のワークフローから貸出申請を受け付けています\n\n利用ルール\n\n貸与された端末は丁寧に扱い、故障・破損・水漏れ・紛失・盗難がないようにしてください\n\n初期パスコードはデモ端末一覧を参照ください（変更した場合、返却時に元のパスコードに戻してください）\n\n社外へ持ち出す（他社への貸出）場合は、情報機器利用申請書を記入し、Pマーク担当者（俵屋）へ提出してください\n\n定期的に動作確認してください。\n\n\n⚠️ 使用注意点 \n\n不要になった場合はなるべく早くご返却ください。\n\nバッテリー残量0で電源が落ちないように定期的に充電・動作確認をお願いします。\n\n⇒落ちた場合は、あまり日を空けず速やかに充電してください。※過放電で充電・起動ができなくなる為\n\n過放電防止の為、しばらく使用しない場合は、残量がある状態で電源OFFしてください。\n\n\n\n以下の場合は#社内端末貸出依頼チャンネルでデモ端末管理者（@demo_device）へお問い合わせください\n\nOSバージョンの変更（許可制のため事前にご連絡ください。変更後は、新しいOSバージョンをお知らせください）\n\n個人間で使用者を変更した場合\n\n返却時期を大幅に延期する場合\n\n\n\n返却方法\n\n経費精算でレターパックプラス(赤)を購入し、厚めの緩衝材に包み受取元のオフィスまでご送付ください\n\nレターパックプラス（34cm×24.8cm：A4ファイルサイズ）で梱包出来ない場合は、別資材で梱包してヤマト・佐川の着払いでご送付ください\n\n同案件内での使用者変更による直接発送受取も可です（個人情報が気になる方は、本社経由でご送付ください）\n\n\n⚠️ 返却前の注意点 \n\n発送前に、必ず全てのアカウントからログアウトしてください\n\nバージョン管理のため、原則初期化しません\n\n付属品（ケーブルや充電器など）も借りている場合は、一緒にご返却ください\n\n不具合があった場合は、デモ端末管理者@demo_deviceへお知らせください \n\n\n💻PC\n利用ルール\n\n貸与されたパソコン等の情報機器は丁寧に扱い、故障・破損・水漏れ・紛失・盗難がないようにしてください\n\nなるべく整った環境（涼しい所、ほこりの少ない所等）で使用・保管してください\n\nご自身の個人ユーザーの受渡時のパスワードは仮パスワードですので、変更してご使用ください\n\nadminユーザーは管理用ユーザーなので削除しないでください\n\n業務終了後は原則シャットダウンしてください\n\nやむなくご自身で初期化する場合は、初期化後の初期設定手順がありますので、実施前に資産管理委員会までお知らせください\n\n個人PCの使用者変更は不可です（個人設定・アカウント付与されている為）\n\n共有PCの使用者変更があった場合は資産管理委員会までお知らせください\n\n日頃からOSのシステムアップデートを行ってください\n\n ※但しOSのバージョンアップデートについては、以下注意点があります\n\n Mac　新Mac OSがリリースされた場合、OSアップデートはESET運用側からの更新連絡があるまでお待ちください\n\n\n返却方法\nPCの初期化は不要です\n\n埃や汚れ、ステッカーなど、できる限りきれいにした状態でお戻しください\n\n返却時の段ボールはなるべく到着時のものを使用してください（梱包資材がない場合はご自身で用意か、下記配送サービスをご利用ください）\n\nパソコン宅急便（ヤマト運輸）　/　精密機器輸送サービス（佐川急便）\n\nPC本体及びモニター等周辺機器は着払いで会社に発送してください（ヤマト運輸、もしくは佐川急便をご利用ください）\n\nPC配送時の破損・故障が増えております。下記のことに注意し梱包してください（PC の正しい梱包方法）\n・緩衝材を充分に入れる\n・ゲーミングPCはマザーボード側を底面にする\n・充分に強度のある段ボールで梱包する（amazonの箱など、薄いものは潰れる場合があるのでNG）\n\n\n⚠️ 返却前の注意点\n\n本社到着後に初期化する為、重要なファイルはGoogleドライブ等にバックアップしてください\n\n🔏ライセンス・アカウント\n■対象ライセンス・アカウント\n\n全社ライセンス　：　Google、Slack、Microsoft Office、ESET\n\n開発用ツール　　：　Adobe各種、MAYA、LETS、Zbrush、Unity Pro、CLIP STUDIO、Spine\n\n利用ルール\n\n開発用ツールの割当、削除が必要になった場合は、ツール申請フォームから申請してください。（上長、本人からのどちらでも申請可）\n\nその他のお問い合わせは資産管理委員会問い合わせフォームからお問い合せ下さい。\n\n以下は情報システム委員会へお問い合わせください。\n\nConfluence、Backlog、SVN/GitLab、Google Drive、Unreal Developer Network (UDN)、社内Wiki（Adglobe GA Wiki ）、Docker Desktop、VPNアカウント\n\n📚書籍\n■書籍一覧\n\n資産管理委員会問い合わせフォーム  から貸出申請を受け付けています\n\n利用ルール\n\nオフィスでの閲覧の他、貸し出しも可能です（ただし、郵送対応はしておりませんので、オフィスまで取りに来ていただきます）\n\n貸し出し中の可能性もありますので、事前に資産管理委員まで所在を資産管理委員会問い合わせフォームからお問い合せ下さい\n\n最寄りの拠点にない、リストにない書籍については、技術書籍購入制度をご利用頂けます\n\n🎮ゲーム機・ゲームソフト\n■ゲーム・ソフト一覧\n\n各拠点カフェスペースにあるゲーム機を部会や懇親会等にご利用いただけます。\n\n利用ルール\n\n業務時間外、休憩中、オフィス内での利用に限ります。（社外持ち出し・個人貸出しは禁止）\n\n使用後、ゲーム機本体・ソフトは必ず所定の場所に戻してください。,https://sites.google.com/adglobe.co.jp/adgportalsitenew/assets-list,,,,,
